gender,age,parental level of education,education level,math score,reading score,writing score,extracurricular activities,IELTS,financial sponsorship,visa eligible
female,25,associate's degree,College Graduate,88,92,95,multiple,8.7,family-sponsored,yes
female,21,some college,Postgraduate,35,44,43,sports,6.6,scholarship,no
female,25,master's degree,College Graduate,45,56,54,sports,8.7,self-funded,no
male,22,some college,Undergraduate,58,59,58,multiple,6.7,family-sponsored,yes
male,20,some high school,Postgraduate,63,67,67,arts,6.4,self-funded,yes
female,21,some high school,College Graduate,77,91,88,volunteering,7.4,family-sponsored,no
female,19,some college,Postgraduate,83,83,90,multiple,5.4,scholarship,no
male,20,master's degree,College Graduate,73,74,72,sports,5.5,scholarship,no
female,19,some college,Postgraduate,82,97,96,volunteering,5.3,self-funded,yes
male,24,high school,Undergraduate,68,64,66,none,7.6,government-funded,yes
male,24,bachelor's degree,Undergraduate,49,58,60,sports,8.5,scholarship,yes
female,23,master's degree,Postgraduate,56,72,65,volunteering,8.4,family-sponsored,no
male,21,some college,College Graduate,59,62,61,none,7.0,government-funded,no
male,19,some college,Undergraduate,85,75,68,volunteering,5.9,family-sponsored,yes
male,20,associate's degree,Undergraduate,94,85,82,volunteering,6.0,scholarship,yes
male,24,some high school,Undergraduate,68,54,53,volunteering,7.9,government-funded,no
female,20,high school,Postgraduate,72,80,83,volunteering,5.6,self-funded,no
male,24,high school,Postgraduate,60,57,51,none,8.7,self-funded,no
female,21,high school,College Graduate,62,62,63,none,6.9,family-sponsored,no
female,19,some high school,College Graduate,74,75,82,arts,5.3,government-funded,no
female,24,some high school,College Graduate,59,63,64,sports,7.9,scholarship,yes
male,19,associate's degree,Postgraduate,71,74,68,multiple,5.3,scholarship,yes
female,23,bachelor's degree,Postgraduate,99,100,100,multiple,7.7,government-funded,yes
female,20,high school,College Graduate,34,42,39,volunteering,5.8,scholarship,no
male,24,high school,College Graduate,50,48,42,sports,8.8,scholarship,no
male,25,high school,Postgraduate,57,50,54,arts,8.5,scholarship,no
female,24,some college,College Graduate,69,65,74,arts,7.8,family-sponsored,no
female,21,associate's degree,Undergraduate,26,31,38,volunteering,7.1,scholarship,no
female,23,associate's degree,Postgraduate,59,73,72,none,7.6,government-funded,yes
female,21,some high school,College Graduate,52,67,72,sports,7.4,family-sponsored,yes
female,22,associate's degree,Postgraduate,40,59,51,multiple,6.5,family-sponsored,no
male,20,associate's degree,Undergraduate,67,54,63,sports,6.1,self-funded,yes
female,22,some college,Postgraduate,61,64,62,arts,7.0,scholarship,no
male,21,some high school,Postgraduate,78,83,80,arts,6.6,government-funded,yes
female,23,bachelor's degree,Postgraduate,99,100,100,multiple,7.7,government-funded,yes
female,19,some college,Postgraduate,70,78,78,sports,5.6,scholarship,yes
male,21,associate's degree,Undergraduate,97,92,86,arts,7.1,self-funded,yes
female,22,associate's degree,Postgraduate,83,86,88,volunteering,7.4,self-funded,yes
male,19,some college,Postgraduate,70,63,58,multiple,5.4,family-sponsored,no
female,19,some high school,College Graduate,80,92,88,multiple,5.0,family-sponsored,yes
female,20,associate's degree,Postgraduate,65,77,74,sports,5.6,scholarship,no
male,24,some college,College Graduate,69,54,55,none,8.4,scholarship,no
female,22,some high school,Undergraduate,59,73,69,sports,6.6,family-sponsored,no
female,21,some high school,Undergraduate,52,67,72,sports,7.4,family-sponsored,yes
female,19,some college,Undergraduate,77,90,91,none,5.0,scholarship,no
female,21,some college,Undergraduate,62,67,62,none,7.1,government-funded,no
male,20,some college,College Graduate,88,85,76,volunteering,6.3,government-funded,yes
female,19,high school,Postgraduate,67,80,81,multiple,6.1,family-sponsored,yes
male,25,some high school,Undergraduate,74,63,57,multiple,8.7,scholarship,no
male,25,some college,Postgraduate,83,80,73,multiple,8.8,scholarship,no
female,24,some college,College Graduate,69,84,82,none,8.0,self-funded,no
female,19,some high school,College Graduate,44,51,55,arts,5.1,self-funded,yes
male,25,high school,College Graduate,47,46,42,none,8.6,scholarship,no
female,21,some college,Undergraduate,42,55,54,arts,6.8,self-funded,yes
male,22,some high school,Postgraduate,62,66,68,arts,6.6,self-funded,yes
female,19,some high school,Postgraduate,44,51,55,arts,5.1,self-funded,yes
female,19,some college,Postgraduate,70,78,78,sports,5.6,scholarship,yes
male,20,some college,College Graduate,100,96,86,multiple,5.5,government-funded,yes
male,22,some college,Undergraduate,58,50,45,none,7.1,family-sponsored,no
female,25,some high school,College Graduate,76,87,85,sports,8.8,scholarship,yes
female,21,associate's degree,College Graduate,90,90,91,none,6.8,self-funded,yes
male,24,some college,Postgraduate,66,57,52,volunteering,8.4,scholarship,no
male,24,some college,College Graduate,75,68,65,arts,7.6,self-funded,no
female,23,some high school,Postgraduate,62,64,66,multiple,8.0,government-funded,no
female,25,high school,Undergraduate,29,29,30,none,9.0,scholarship,no
male,20,some college,Postgraduate,53,44,42,none,6.1,self-funded,no
male,19,high school,Undergraduate,44,51,48,volunteering,5.1,self-funded,no
male,22,high school,Postgraduate,84,73,69,sports,6.6,government-funded,no
female,24,some college,College Graduate,70,75,78,volunteering,7.9,scholarship,no
male,23,associate's degree,College Graduate,87,85,73,sports,8.1,scholarship,no
female,22,associate's degree,Undergraduate,53,62,53,arts,7.3,self-funded,no
female,24,some high school,Undergraduate,64,79,77,none,8.2,scholarship,yes
male,24,associate's degree,Undergraduate,58,54,52,none,8.6,government-funded,no
male,23,some college,Postgraduate,53,39,37,sports,7.7,self-funded,no
female,23,master's degree,Postgraduate,77,82,91,none,8.0,family-sponsored,yes
male,21,associate's degree,Undergraduate,67,62,60,none,6.7,self-funded,no
female,25,some high school,College Graduate,76,87,85,sports,8.8,scholarship,yes
male,19,high school,Postgraduate,57,56,54,multiple,5.2,self-funded,yes
male,23,high school,Postgraduate,62,67,58,none,7.5,self-funded,no
male,20,associate's degree,Postgraduate,94,85,82,volunteering,6.0,scholarship,yes
male,20,some college,Undergraduate,69,77,77,multiple,5.6,scholarship,yes
male,23,bachelor's degree,Undergraduate,80,78,81,arts,8.0,self-funded,yes
female,20,some high school,Undergraduate,63,78,79,arts,5.7,government-funded,yes
female,22,master's degree,Undergraduate,54,64,67,sports,7.2,self-funded,yes
male,22,high school,Undergraduate,89,87,79,multiple,6.7,family-sponsored,no
female,19,high school,College Graduate,59,71,65,none,5.2,family-sponsored,yes
male,24,bachelor's degree,College Graduate,37,56,47,none,8.0,self-funded,no
female,25,some college,Undergraduate,71,70,76,volunteering,8.8,government-funded,no
female,21,high school,Postgraduate,36,53,43,sports,6.7,scholarship,no
female,24,bachelor's degree,Undergraduate,47,62,66,volunteering,8.8,self-funded,yes
male,22,some high school,College Graduate,51,31,36,volunteering,6.7,scholarship,no
male,24,some high school,College Graduate,78,72,69,sports,8.3,self-funded,yes
male,19,high school,Postgraduate,57,51,54,arts,6.2,government-funded,no
female,19,high school,College Graduate,57,75,73,none,5.2,self-funded,yes
male,24,some college,Undergraduate,79,67,67,sports,8.4,family-sponsored,no
female,22,high school,Postgraduate,66,76,68,arts,7.4,family-sponsored,no
female,23,bachelor's degree,Undergraduate,59,70,73,volunteering,8.4,self-funded,no
female,24,associate's degree,Undergraduate,65,84,84,multiple,8.3,scholarship,yes
male,23,high school,Postgraduate,71,66,65,multiple,7.9,scholarship,no
male,21,some college,Undergraduate,76,83,79,sports,6.7,family-sponsored,yes
male,24,high school,College Graduate,58,52,54,none,7.9,government-funded,yes
male,22,some college,Undergraduate,69,64,68,volunteering,6.6,government-funded,no
female,19,high school,Postgraduate,67,80,81,multiple,6.1,family-sponsored,yes
female,19,some college,Postgraduate,88,95,92,volunteering,6.3,family-sponsored,yes
male,19,associate's degree,Postgraduate,65,67,65,none,5.4,self-funded,yes
male,19,associate's degree,Undergraduate,73,78,72,none,5.7,government-funded,yes
male,20,bachelor's degree,Postgraduate,85,66,71,none,5.5,scholarship,yes
female,23,associate's degree,Postgraduate,75,90,88,multiple,8.1,self-funded,yes
female,20,some high school,Undergraduate,63,78,79,arts,5.7,government-funded,yes
male,23,associate's degree,College Graduate,91,89,92,volunteering,8.2,family-sponsored,yes
male,23,bachelor's degree,Undergraduate,68,74,74,sports,8.2,scholarship,yes
female,23,some high school,Postgraduate,68,71,75,sports,8.0,family-sponsored,no
female,23,associate's degree,Postgraduate,59,73,72,none,7.6,government-funded,yes
male,23,some high school,Undergraduate,75,74,69,sports,7.7,self-funded,no
male,22,bachelor's degree,College Graduate,96,90,92,volunteering,7.1,scholarship,yes
female,23,high school,Postgraduate,68,80,76,multiple,7.5,family-sponsored,yes
female,24,some high school,Postgraduate,49,58,55,multiple,8.8,family-sponsored,no
male,23,some college,Postgraduate,66,65,60,multiple,7.8,government-funded,no
female,19,associate's degree,Undergraduate,57,68,73,none,5.0,scholarship,yes
male,20,bachelor's degree,Postgraduate,39,42,38,multiple,5.8,self-funded,yes
male,22,some high school,College Graduate,79,85,86,none,6.6,government-funded,yes
male,22,bachelor's degree,Postgraduate,83,78,73,none,7.0,government-funded,no
male,23,associate's degree,Postgraduate,49,51,43,none,8.3,self-funded,no
male,24,associate's degree,College Graduate,87,100,95,none,8.1,self-funded,yes
male,19,some high school,Postgraduate,85,84,78,arts,6.1,family-sponsored,yes
male,24,some college,Undergraduate,54,54,45,arts,8.9,family-sponsored,no
male,21,high school,Undergraduate,76,62,60,sports,6.7,government-funded,yes
female,24,high school,Undergraduate,54,64,68,sports,8.6,self-funded,no
female,22,some college,College Graduate,69,90,88,volunteering,6.7,self-funded,yes
male,22,associate's degree,Postgraduate,47,57,44,multiple,7.3,scholarship,no
male,20,some college,Undergraduate,63,61,60,arts,6.3,scholarship,no
female,23,high school,College Graduate,74,79,80,none,7.5,scholarship,yes
male,22,associate's degree,Postgraduate,100,100,93,sports,6.7,family-sponsored,yes
female,21,associate's degree,College Graduate,67,84,86,none,7.1,family-sponsored,yes
female,24,some college,Undergraduate,75,77,83,arts,9.0,family-sponsored,yes
male,19,associate's degree,Undergraduate,81,73,72,multiple,5.5,self-funded,no
female,22,some high school,Undergraduate,57,67,72,none,6.6,scholarship,no
female,19,bachelor's degree,College Graduate,66,83,83,volunteering,5.9,government-funded,yes
female,19,some college,College Graduate,88,95,92,volunteering,6.3,family-sponsored,yes
male,24,some high school,Undergraduate,78,72,69,sports,8.3,self-funded,yes
female,23,bachelor's degree,College Graduate,65,79,81,sports,7.5,scholarship,no
male,19,bachelor's degree,Undergraduate,67,61,68,multiple,5.4,self-funded,yes
male,19,some college,Undergraduate,99,87,81,sports,5.4,government-funded,yes
male,25,some high school,Postgraduate,63,60,57,volunteering,8.7,scholarship,yes
male,20,some high school,College Graduate,47,49,49,volunteering,5.7,scholarship,yes
male,22,some high school,Undergraduate,49,50,52,multiple,6.8,family-sponsored,yes
male,20,some high school,Undergraduate,63,67,67,arts,6.4,self-funded,yes
female,24,associate's degree,College Graduate,94,87,92,volunteering,8.3,family-sponsored,yes
female,20,some high school,Postgraduate,77,90,85,volunteering,6.3,family-sponsored,yes
female,24,bachelor's degree,Postgraduate,63,75,81,arts,9.0,self-funded,no
male,20,some college,Undergraduate,53,55,48,multiple,5.7,scholarship,no
female,19,some high school,College Graduate,65,76,75,sports,5.4,scholarship,yes
female,23,some college,Postgraduate,79,86,81,multiple,8.3,self-funded,no
female,20,master's degree,College Graduate,81,86,87,none,5.8,government-funded,no
male,24,high school,College Graduate,57,43,47,sports,8.4,self-funded,no
male,19,high school,Undergraduate,61,56,55,none,5.6,self-funded,no
female,23,associate's degree,Postgraduate,71,71,74,none,7.8,government-funded,no
male,23,some college,Undergraduate,87,84,86,sports,7.7,self-funded,yes
male,21,some college,Postgraduate,50,48,53,none,7.3,scholarship,yes
male,19,associate's degree,Postgraduate,82,78,74,arts,6.3,government-funded,yes
female,25,some college,Postgraduate,51,58,54,volunteering,8.6,self-funded,no
female,24,some high school,Postgraduate,70,82,76,arts,8.9,government-funded,yes
male,21,associate's degree,Postgraduate,71,66,60,volunteering,7.0,scholarship,no
male,22,some college,College Graduate,65,77,74,multiple,7.0,scholarship,yes
female,24,some college,Undergraduate,75,88,85,none,8.7,scholarship,yes
female,23,high school,College Graduate,74,79,80,none,7.5,scholarship,yes
male,24,bachelor's degree,Postgraduate,49,58,60,sports,8.5,scholarship,yes
male,20,associate's degree,Undergraduate,58,57,53,multiple,6.3,self-funded,yes
female,19,associate's degree,Postgraduate,57,68,73,none,5.0,scholarship,yes
male,21,some high school,Undergraduate,75,72,62,volunteering,6.9,family-sponsored,no
female,25,associate's degree,College Graduate,56,65,63,multiple,8.9,scholarship,no
male,19,some college,Undergraduate,79,79,78,volunteering,6.1,family-sponsored,yes
female,24,some high school,Undergraduate,65,74,77,arts,8.6,scholarship,yes
male,20,high school,Undergraduate,53,52,42,none,6.2,scholarship,no
male,21,high school,Undergraduate,49,45,45,sports,6.9,family-sponsored,no
male,24,some high school,Undergraduate,73,66,66,multiple,8.6,family-sponsored,no
female,23,high school,Postgraduate,41,45,40,none,7.5,self-funded,no
female,25,high school,Undergraduate,44,61,52,sports,8.5,scholarship,no
male,21,associate's degree,Undergraduate,40,52,43,sports,7.0,scholarship,no
female,24,some college,College Graduate,73,76,78,multiple,9.0,government-funded,no
male,19,high school,Undergraduate,72,65,68,sports,5.4,scholarship,yes
male,19,some college,College Graduate,49,57,46,none,5.3,self-funded,no
female,19,associate's degree,Postgraduate,71,77,77,none,6.2,self-funded,yes
female,19,associate's degree,Undergraduate,76,94,87,volunteering,5.3,scholarship,yes
male,21,some college,College Graduate,69,66,60,arts,6.6,scholarship,no
female,21,master's degree,College Graduate,40,59,54,none,6.5,family-sponsored,no
female,22,associate's degree,Postgraduate,61,86,87,multiple,7.0,self-funded,yes
male,23,associate's degree,Undergraduate,46,43,41,arts,7.5,government-funded,no
female,19,some college,Undergraduate,58,59,66,sports,5.6,family-sponsored,no
female,20,high school,College Graduate,59,63,75,none,5.9,government-funded,yes
female,21,bachelor's degree,Undergraduate,61,72,70,volunteering,7.3,government-funded,no
male,19,associate's degree,College Graduate,47,37,35,multiple,5.0,self-funded,no
female,22,some college,Undergraduate,78,87,91,sports,6.6,family-sponsored,yes
female,23,associate's degree,College Graduate,75,90,88,multiple,8.1,self-funded,yes
male,24,associate's degree,Undergraduate,77,67,64,sports,8.5,government-funded,no
male,23,high school,Postgraduate,75,69,68,sports,8.1,family-sponsored,yes
male,24,associate's degree,Undergraduate,64,66,59,volunteering,7.8,self-funded,no
male,22,some high school,Undergraduate,62,66,68,arts,6.6,self-funded,yes
male,22,some high school,Postgraduate,78,81,86,none,6.6,self-funded,yes
female,22,some college,Undergraduate,84,87,91,arts,6.5,scholarship,no
male,20,some college,Postgraduate,40,42,38,sports,6.1,government-funded,no
female,19,some high school,Undergraduate,55,65,62,sports,6.3,family-sponsored,no
female,23,high school,College Graduate,60,64,74,multiple,7.6,family-sponsored,yes
male,22,associate's degree,College Graduate,69,70,63,multiple,7.2,government-funded,yes
female,21,some high school,Undergraduate,60,70,70,sports,6.8,government-funded,yes
female,24,some college,Undergraduate,75,88,85,none,8.7,scholarship,yes
male,23,some high school,Undergraduate,76,80,73,multiple,7.6,self-funded,yes
female,20,associate's degree,College Graduate,57,69,68,sports,5.9,government-funded,no
female,23,high school,Undergraduate,41,46,43,arts,8.4,government-funded,no
female,22,some college,College Graduate,69,90,88,volunteering,6.7,self-funded,yes
female,20,some high school,Postgraduate,50,64,59,none,6.3,government-funded,no
male,23,bachelor's degree,College Graduate,68,68,64,none,7.6,family-sponsored,no
female,24,bachelor's degree,College Graduate,43,51,54,arts,7.9,self-funded,yes
female,23,associate's degree,Postgraduate,37,57,56,multiple,7.9,family-sponsored,no
female,23,associate's degree,College Graduate,39,64,57,sports,7.9,self-funded,no
male,19,high school,Undergraduate,48,45,41,none,5.4,self-funded,no
female,24,some college,Undergraduate,63,73,71,volunteering,7.6,scholarship,yes
female,23,associate's degree,College Graduate,68,67,73,volunteering,8.4,self-funded,yes
female,20,associate's degree,Undergraduate,65,77,74,multiple,5.8,government-funded,no
male,23,some high school,College Graduate,46,41,43,arts,7.8,scholarship,yes
female,20,high school,Undergraduate,59,63,75,none,5.9,government-funded,yes
female,21,associate's degree,Undergraduate,63,67,70,sports,7.1,scholarship,no
female,23,associate's degree,College Graduate,82,93,93,multiple,7.5,self-funded,yes
female,25,some high school,Undergraduate,85,92,93,volunteering,8.6,government-funded,yes
female,23,some college,College Graduate,88,93,93,volunteering,8.1,government-funded,yes
male,23,associate's degree,Undergraduate,87,73,72,arts,8.4,government-funded,no
female,19,associate's degree,Undergraduate,95,89,92,volunteering,6.3,family-sponsored,yes
male,19,high school,Postgraduate,58,51,52,volunteering,5.4,family-sponsored,yes
male,23,associate's degree,Postgraduate,75,68,64,volunteering,8.3,scholarship,no
female,19,some college,College Graduate,53,66,73,none,5.2,government-funded,yes
male,25,high school,Postgraduate,72,66,66,none,8.8,self-funded,no
male,20,some college,College Graduate,100,96,86,multiple,5.5,government-funded,yes
female,24,high school,Postgraduate,76,85,82,none,8.2,scholarship,yes
male,20,bachelor's degree,Undergraduate,68,68,67,sports,5.6,government-funded,no
female,25,some high school,College Graduate,50,60,60,none,8.7,family-sponsored,yes
male,23,high school,College Graduate,75,69,68,sports,8.1,family-sponsored,yes
female,23,bachelor's degree,Undergraduate,65,67,62,sports,7.5,family-sponsored,no
female,23,high school,College Graduate,69,77,73,multiple,8.2,family-sponsored,no
female,19,some college,College Graduate,70,78,78,sports,5.6,scholarship,yes
male,22,some high school,Postgraduate,62,67,69,multiple,7.4,self-funded,yes
male,24,high school,College Graduate,73,64,57,none,9.0,government-funded,no
male,24,high school,Undergraduate,60,44,47,arts,7.9,family-sponsored,yes
female,22,bachelor's degree,Postgraduate,52,61,66,arts,7.2,self-funded,yes
male,19,some high school,Postgraduate,64,58,51,volunteering,5.4,government-funded,no
male,23,high school,Undergraduate,75,69,68,sports,8.1,family-sponsored,yes
female,22,some high school,Undergraduate,65,78,82,volunteering,6.7,family-sponsored,yes
male,24,high school,Postgraduate,74,70,69,sports,8.4,self-funded,no
male,21,associate's degree,College Graduate,83,72,78,multiple,7.4,scholarship,no
female,20,some college,Postgraduate,63,65,61,sports,5.6,family-sponsored,no
female,20,some high school,Undergraduate,44,45,45,arts,6.4,government-funded,no
male,19,some high school,Postgraduate,77,76,77,none,6.3,government-funded,yes
female,19,some high school,Undergraduate,47,54,53,sports,5.3,scholarship,no
female,22,master's degree,Postgraduate,74,79,82,arts,7.0,self-funded,no
female,19,some high school,College Graduate,67,74,77,sports,5.5,self-funded,yes
male,22,some college,Postgraduate,65,77,74,multiple,7.0,scholarship,yes
female,19,some high school,Postgraduate,44,50,51,arts,5.2,self-funded,no
male,24,high school,Undergraduate,71,74,64,volunteering,7.8,scholarship,no
female,21,associate's degree,Undergraduate,96,96,99,multiple,7.4,self-funded,yes
male,21,master's degree,Undergraduate,61,67,66,volunteering,6.7,scholarship,no
female,23,some college,Postgraduate,88,93,93,volunteering,8.1,government-funded,yes
female,24,associate's degree,College Graduate,87,94,95,none,8.7,self-funded,no
male,19,high school,Undergraduate,82,82,80,arts,5.3,family-sponsored,no
female,19,associate's degree,Undergraduate,46,61,55,none,5.5,self-funded,no
male,21,some high school,Postgraduate,74,71,78,none,7.3,self-funded,yes
male,19,some college,Undergraduate,65,58,49,none,5.6,scholarship,no
male,19,high school,College Graduate,52,53,49,volunteering,6.4,government-funded,no
female,19,high school,College Graduate,72,80,75,volunteering,5.1,scholarship,no
female,24,associate's degree,Undergraduate,59,62,69,multiple,7.7,family-sponsored,no
female,25,some college,Undergraduate,42,66,69,multiple,8.8,self-funded,yes
male,21,some high school,Postgraduate,78,83,80,arts,6.6,government-funded,yes
male,20,some high school,College Graduate,63,67,67,arts,6.4,self-funded,yes
female,19,master's degree,College Graduate,61,71,78,sports,5.5,self-funded,yes
male,24,master's degree,Undergraduate,67,57,59,volunteering,7.7,family-sponsored,no
male,21,high school,Postgraduate,72,67,65,sports,6.5,self-funded,yes
female,20,bachelor's degree,College Graduate,92,100,99,none,6.3,self-funded,yes
male,23,some college,College Graduate,91,96,91,none,7.6,family-sponsored,yes
male,22,associate's degree,Postgraduate,65,54,57,none,7.2,family-sponsored,no
male,24,some high school,Postgraduate,59,42,41,sports,7.5,government-funded,no
male,22,associate's degree,College Graduate,55,61,54,multiple,6.8,family-sponsored,no
female,19,associate's degree,College Graduate,71,77,77,none,6.2,self-funded,yes
female,25,some college,Postgraduate,77,68,77,sports,8.5,government-funded,no
female,24,associate's degree,College Graduate,55,72,79,volunteering,8.4,scholarship,yes
female,19,some college,Undergraduate,54,63,67,none,6.4,scholarship,no
male,23,some high school,Undergraduate,76,80,73,multiple,7.6,self-funded,yes
male,24,associate's degree,Postgraduate,81,75,78,arts,8.7,self-funded,no
male,23,associate's degree,Postgraduate,46,43,44,multiple,8.3,self-funded,yes
male,22,some college,Postgraduate,59,41,42,sports,7.4,government-funded,no
female,21,bachelor's degree,Undergraduate,96,100,100,arts,6.5,scholarship,yes
male,19,some high school,College Graduate,89,88,82,arts,5.0,scholarship,yes
male,19,some high school,Undergraduate,77,76,77,none,6.3,government-funded,yes
female,19,high school,College Graduate,23,44,36,multiple,5.1,government-funded,yes
male,19,bachelor's degree,Undergraduate,55,46,44,multiple,6.4,scholarship,no
male,23,bachelor's degree,College Graduate,87,84,87,none,7.7,scholarship,yes
male,19,high school,Undergraduate,46,34,36,multiple,5.4,scholarship,no
female,21,some high school,Postgraduate,38,43,43,sports,7.4,self-funded,no
female,24,some high school,Undergraduate,80,90,82,multiple,8.4,family-sponsored,no
male,23,some high school,College Graduate,69,71,65,arts,7.9,self-funded,no
male,23,high school,Undergraduate,27,34,36,multiple,8.0,self-funded,no
female,23,master's degree,Undergraduate,77,82,91,none,8.0,family-sponsored,yes
male,24,high school,Undergraduate,55,41,48,none,8.8,self-funded,yes
female,19,some high school,Postgraduate,44,51,55,arts,5.1,self-funded,yes
female,19,high school,Undergraduate,87,95,86,none,5.1,family-sponsored,no
female,19,high school,Postgraduate,59,71,65,none,5.2,family-sponsored,yes
female,23,some high school,Postgraduate,40,65,64,arts,8.4,scholarship,yes
male,25,some college,Undergraduate,62,57,62,none,8.8,scholarship,no
female,25,high school,Undergraduate,69,77,78,arts,8.8,government-funded,yes
female,19,some high school,Undergraduate,48,58,52,arts,5.0,government-funded,no
female,21,some college,College Graduate,70,72,76,multiple,6.6,self-funded,yes
female,19,associate's degree,Undergraduate,76,94,87,volunteering,5.3,scholarship,yes
male,19,some college,Postgraduate,71,75,70,arts,5.4,family-sponsored,yes
male,19,some high school,Undergraduate,51,54,41,arts,5.9,self-funded,yes
female,20,some high school,College Graduate,61,74,72,arts,6.3,self-funded,yes
male,19,associate's degree,Undergraduate,61,55,52,multiple,5.2,self-funded,no
female,23,some college,College Graduate,65,75,70,none,8.2,scholarship,yes
male,22,associate's degree,College Graduate,72,57,62,volunteering,7.2,family-sponsored,no
female,19,high school,Undergraduate,54,59,62,arts,6.0,scholarship,no
male,19,associate's degree,Postgraduate,81,82,82,none,5.4,self-funded,yes
male,19,master's degree,College Graduate,54,59,50,sports,5.4,family-sponsored,no
male,24,high school,Undergraduate,68,64,66,none,7.6,government-funded,yes
female,23,some high school,Undergraduate,66,78,78,volunteering,7.9,family-sponsored,yes
female,23,bachelor's degree,Postgraduate,97,97,96,arts,8.4,scholarship,no
male,19,associate's degree,College Graduate,79,82,80,none,5.4,scholarship,yes
female,23,bachelor's degree,College Graduate,51,72,79,arts,7.5,self-funded,yes
male,24,some college,Undergraduate,67,74,70,none,8.7,government-funded,yes
female,24,some college,Undergraduate,70,89,88,multiple,8.4,family-sponsored,yes
male,20,some high school,Postgraduate,47,49,49,volunteering,5.7,scholarship,yes
female,23,high school,Postgraduate,77,82,89,arts,7.7,scholarship,yes
male,23,high school,College Graduate,84,77,74,none,7.7,scholarship,no
female,23,bachelor's degree,College Graduate,64,73,70,none,8.3,government-funded,no
female,22,some college,Undergraduate,69,79,81,multiple,6.9,self-funded,yes
female,24,high school,College Graduate,69,72,77,arts,8.0,self-funded,no
female,22,master's degree,Postgraduate,50,53,58,sports,6.9,scholarship,no
female,24,associate's degree,Postgraduate,65,84,84,multiple,8.3,scholarship,yes
female,24,master's degree,Undergraduate,65,81,81,volunteering,8.8,family-sponsored,yes
female,24,associate's degree,Postgraduate,55,76,76,arts,8.8,family-sponsored,no
female,19,some college,Postgraduate,62,73,70,arts,5.2,scholarship,no
male,21,some college,Postgraduate,81,74,71,volunteering,6.7,scholarship,yes
male,20,some college,Postgraduate,69,77,77,multiple,5.6,scholarship,yes
female,25,some college,Undergraduate,55,71,69,sports,9.0,government-funded,no
male,20,bachelor's degree,Undergraduate,71,74,68,arts,6.4,government-funded,yes
male,25,high school,College Graduate,66,69,63,multiple,8.6,family-sponsored,no
female,23,associate's degree,Postgraduate,82,93,93,multiple,7.5,self-funded,yes
female,24,some high school,College Graduate,59,63,64,sports,7.9,scholarship,yes
female,19,high school,Undergraduate,57,75,73,none,5.2,self-funded,yes
female,24,high school,Undergraduate,67,78,79,arts,8.3,scholarship,yes
female,25,some high school,Undergraduate,38,49,45,sports,8.6,self-funded,no
male,22,bachelor's degree,Undergraduate,66,60,57,volunteering,6.9,self-funded,no
male,21,high school,Undergraduate,79,60,65,multiple,6.8,family-sponsored,no
male,21,high school,Undergraduate,72,67,65,sports,6.5,self-funded,yes
male,24,associate's degree,Undergraduate,57,54,56,arts,7.6,self-funded,yes
male,24,associate's degree,Postgraduate,61,58,56,multiple,7.7,scholarship,no
female,19,master's degree,College Graduate,61,71,78,sports,5.5,self-funded,yes
male,22,some college,Undergraduate,76,71,73,multiple,6.5,family-sponsored,no
female,20,high school,Postgraduate,59,63,75,none,5.9,government-funded,yes
male,21,some college,Postgraduate,69,60,54,multiple,7.2,government-funded,no
male,24,associate's degree,College Graduate,77,78,73,arts,8.7,government-funded,no
male,21,high school,Undergraduate,69,70,67,volunteering,7.1,government-funded,no
female,25,associate's degree,College Graduate,88,92,95,multiple,8.7,family-sponsored,yes
male,19,bachelor's degree,Undergraduate,61,70,76,multiple,5.4,government-funded,yes
female,20,some high school,Postgraduate,61,74,72,arts,6.3,self-funded,yes
male,19,some high school,Postgraduate,94,88,78,none,5.0,self-funded,no
female,20,high school,Postgraduate,42,62,60,multiple,5.5,government-funded,no
male,24,some college,Postgraduate,62,61,57,sports,8.8,government-funded,no
male,21,some high school,College Graduate,62,64,55,sports,7.4,self-funded,no
male,24,some high school,Undergraduate,65,66,62,none,8.5,government-funded,yes
female,24,some college,Undergraduate,54,48,52,multiple,8.4,government-funded,no
male,22,high school,College Graduate,36,29,27,none,6.7,scholarship,no
male,20,some college,Undergraduate,100,96,86,multiple,5.5,government-funded,yes
female,25,associate's degree,Postgraduate,53,70,70,arts,8.7,scholarship,no
female,23,some college,Undergraduate,58,67,72,none,8.4,scholarship,no
male,20,some high school,Postgraduate,63,67,67,arts,6.4,self-funded,yes
female,20,high school,College Graduate,59,63,75,none,5.9,government-funded,yes
male,22,associate's degree,Undergraduate,63,61,61,volunteering,7.2,government-funded,no
male,24,high school,College Graduate,55,41,48,none,8.8,self-funded,yes
female,24,some high school,Undergraduate,70,82,76,arts,8.9,government-funded,yes
female,20,some college,Postgraduate,71,71,80,arts,5.8,scholarship,yes
female,23,high school,College Graduate,81,84,82,sports,8.4,self-funded,no
female,19,some high school,Undergraduate,59,54,67,multiple,5.4,self-funded,yes
male,22,some high school,Postgraduate,66,68,64,sports,6.7,self-funded,yes
female,24,some college,College Graduate,77,86,86,arts,7.9,family-sponsored,no
female,21,high school,College Graduate,66,72,70,arts,7.1,self-funded,no
female,22,associate's degree,Undergraduate,53,61,62,arts,6.9,self-funded,no
male,19,some high school,Undergraduate,60,59,54,arts,6.3,government-funded,no
